Week,Rating,From Date,To Date
1,5.62712358034432,2015-07-20,2015-07-27
2,4.8126978425885,2015-07-28,2015-08-04
3,5,2015-08-06,2015-08-13
4,5.24833455123661,2015-08-17,2015-08-24
5,5.59969338894871,2015-08-25,2015-09-01
6,5.1504737156324,2015-09-02,2015-09-09
7,4.49458807203106,2015-09-22,2015-09-29
8,5.30096097892293,2015-10-01,2015-10-08
9,5.33432709928904,2015-10-09,2015-10-16
10,4.50707180605023,2015-10-20,2015-10-27
11,5,2015-10-30,2015-11-06
12,5.30804395562009,2015-11-09,2015-11-16
13,3.53314636330845,2015-11-17,2015-11-24
14,6.48309345465842,2015-11-26,2015-12-03
15,5.7510353374606,2015-12-04,2015-12-11
16,4.70837790891335,2015-12-14,2015-12-21
17,5.54918013470884,2015-12-27,2016-01-03
18,5.20575990357399,2016-01-04,2016-01-11
19,6.23158648165509,2016-01-12,2016-01-19
20,5.39528357944754,2016-01-20,2016-01-27
21,5.73621880326008,2016-01-28,2016-02-04
22,6.00459713173076,2016-02-05,2016-02-12
23,5.0626709325495,2016-02-14,2016-02-21
24,5.60163115244325,2016-02-22,2016-02-29
25,6.22940435898046,2016-03-01,2016-03-08
26,5.20994595063943,2016-03-09,2016-03-16
27,6.11082856498936,2016-03-17,2016-03-24
28,5.86958762774713,2016-03-25,2016-04-01
29,5.92831490524122,2016-04-02,2016-04-09
30,5.66214623921196,2016-04-10,2016-04-17
31,5.25844502822348,2016-04-18,2016-04-25
32,5.72416105308592,2016-04-26,2016-05-03
33,5.61779648975749,2016-05-04,2016-05-11
34,5.49324498396138,2016-05-12,2016-05-19
35,5.66933108719154,2016-05-20,2016-05-27
36,5.51626871998563,2016-05-28,2016-06-04
37,5.59169668733364,2016-06-05,2016-06-12
38,5.49637910779341,2016-06-13,2016-06-20
39,5.96498676356028,2016-06-21,2016-06-28
40,5.94281566939047,2016-06-29,2016-07-06
41,5.5037552397904,2016-07-07,2016-07-14
42,5.58349372370589,2016-07-15,2016-07-22
43,5.28437037104613,2016-07-24,2016-07-31
44,5.40536872205518,2016-08-01,2016-08-08
45,5.70210155936288,2016-08-09,2016-08-16
46,5.578286964509,2016-08-17,2016-08-24
47,5.24152902705585,2016-08-25,2016-09-01
48,5.98815628273007,2016-09-02,2016-09-09
49,5.59191260310331,2016-09-10,2016-09-17
50,5.61944815107383,2016-09-18,2016-09-25
51,4.98622644443669,2016-09-26,2016-10-03
52,5.53437019678909,2016-10-04,2016-10-11
53,5.1086690038057,2016-10-12,2016-10-19
54,5.05457943651517,2016-10-20,2016-10-27
55,5.44261755244012,2016-10-28,2016-11-04
56,5.93541309288917,2016-11-05,2016-11-12
57,5.65073621648374,2016-11-13,2016-11-20
58,5.57036374395066,2016-11-21,2016-11-28
59,5.0054279787444,2016-11-30,2016-12-07
60,5.832843852418,2016-12-08,2016-12-15
61,5.06616866672053,2016-12-17,2016-12-24
62,5.11955432226207,2016-12-26,2017-01-02
63,5.76994626242044,2017-01-04,2017-01-11
64,5.25356864825325,2017-01-12,2017-01-19
65,5.59331123415608,2017-01-20,2017-01-27
66,6.06226545813774,2017-01-28,2017-02-04
67,6.27149104294657,2017-02-05,2017-02-12
68,5.87579533873419,2017-02-13,2017-02-20
69,5.52916073544635,2017-02-21,2017-02-28
70,5.57667895095385,2017-03-01,2017-03-08
71,5.56455501284586,2017-03-09,2017-03-16
72,5.53979610908969,2017-03-17,2017-03-24
73,5.51058705048601,2017-03-25,2017-04-01
74,5.40536872205518,2017-04-02,2017-04-09
75,5.70210155936288,2017-04-10,2017-04-17
76,5.578286964509,2017-04-18,2017-04-25
77,5.24152902705585,2017-05-01,2017-05-08
78,5.40536872205518,2017-05-09,2017-05-10
79,5.70210155936288,2017-05-16,2017-05-17
80,5.578286964509,2017-05-23,2017-05-24
81,5.24152902705585,2017-05-30,2017-05-31
